Date,Weekday (#),<1k,1-10k,10-20k,20-50k,50k-100k,100k+
01/10/2022,7,0,0,0,0,0,0
02/10/2022,1,0,0,0,0,0,0
03/10/2022,2,0,50003.8968,99997.3128,0,0,12660.3
04/10/2022,3,0,0,0,0,0,7753.125
05/10/2022,4,0,0,0,0,62055,0
06/10/2022,5,0,0,0,0,0,230000
07/10/2022,6,0,0,0,0,0,27250
08/10/2022,7,0,0,0,0,0,0
09/10/2022,1,0,0,0,0,0,0
10/10/2022,2,0,0,0,0,0,0
11/10/2022,3,0,0,0,0,0,0
12/10/2022,4,10562.5,0,0,0,0,12520.5
13/10/2022,5,0,2027.25,0,0,4022.8,24500
14/10/2022,6,0,0,0,0,0,30390.6
15/10/2022,7,0,0,0,0,0,0
16/10/2022,1,0,0,0,0,0,0
17/10/2022,2,0,0,0,0,0,26232.06375
18/10/2022,3,0,0,0,0,371000,501600
19/10/2022,4,0,0,0,0,55000,59400
20/10/2022,5,0,0,0,0,1556.25,2838.9
21/10/2022,6,0,0,0,0,9457.333333,23900
22/10/2022,7,0,0,0,0,0,0
23/10/2022,1,0,0,0,0,0,0
24/10/2022,2,0,0,0,0,56250,8711.25
25/10/2022,3,0,0,0,0,0,1710000.18
26/10/2022,4,0,0,0,0,2936.25,15590.625
27/10/2022,5,0,0,0,0,0,75000
28/10/2022,6,0,0,0,0,0,50000.0004
29/10/2022,7,0,0,0,0,0,0
30/10/2022,1,0,0,0,0,0,0
31/10/2022,2,16517.5,0,0,0,0,10950
01/11/2022,3,6211.875,0,0,0,10065,6375
02/11/2022,4,0,0,0,0,7300,0
03/11/2022,5,0,0,0,0,0,2850
04/11/2022,6,0,0,0,0,13600,47950
05/11/2022,7,0,0,0,0,0,0
06/11/2022,1,0,0,0,0,0,0
07/11/2022,2,0,0,0,0,0,41382.8
08/11/2022,3,0,0,0,0,0,0
09/11/2022,4,0,0,0,0,0,15375
10/11/2022,5,0,0,0,0,6500,18933.33333
11/11/2022,6,0,0,0,0,0,0
12/11/2022,7,0,0,0,0,0,0
13/11/2022,1,0,0,0,0,0,0
14/11/2022,2,0,7125,0,0,25000,75000.1
